emoji,Meaning
🥇,ميدالية المركز الأول
🥈,ميدالية المركز الثاني
🥉,ميدالية المركز الثالث
🆎,فئة الدم ايه بي
🏧,ماكينة الصراف الآلي
🅰,فئة الدم ايه
🇦🇫,علم لأفغانستان
🇦🇱,علم لألبانيا
🇩🇿,العلم للجزائر
🇦🇸,العلم لساموا الأمريكية
🇦🇩,علم أندورا
🇦🇴,علم لانجولا
🇦🇮,علم أنغيلا
🇦🇶,علم القارة القطبية الجنوبية
🇦🇬,علم انتيجوا وبربودا
♒,الدلو
🇦🇷,علم الأرجنتين
♈,برج الحمل
🇦🇲,العلم لأرمينيا
🇦🇼,علم لأروبا
🇦🇨,العلم لجزيرة الصعود
🇦🇺,العلم لأستراليا
🇦🇹,علم النمسا
🇦🇿,العلم لأذربيجان
🔙,الى الخلف
🅱,فئة الدم بي
🇧🇸,علم جزر البهاما
🇧🇭,العلم للبحرين
🇧🇩,العلم لبنغلاديش
🇧🇧,العلم لبربادوس
🇧🇾,علم لبيلاروسيا
🇧🇪,علم لبلجيكا
🇧🇿,العلم لبليز
🇧🇯,العلم لبنين
🇧🇲,علم لبرمودا
🇧🇹,العلم لبوتان
🇧🇴,العلم لبوليفيا
🇧🇦,العلم للبوسنة والهرسك
🇧🇼,علم لبوتسوانا
🇧🇻,علم جزيرة بوفيت
🇧🇷,علم للبرازيل
🇮🇴,العلم لمنطقة المحيط الهندي البريطاني
🇻🇬,علم جزر فيرجن البريطانية
🇧🇳,العلم لبروناى
🇧🇬,العلم لبلغاريا
🇧🇫,علم لبوركينا فاسو
🇧🇮,العلم لبوروندي
🆑,البنود
🆒,بارد
🇰🇭,العلم لكمبوديا
🇨🇲,علم الكاميرون
🇨🇦,العلم لكندا
🇮🇨,علم جزر الكناري
♋,سرطان
🇨🇻,علم للرأس الأخضر
♑,الجدي
🇧🇶,العلم لمنطقة البحر الكاريبي هولندا
🇰🇾,علم جزر كايمان
🇨🇫,علم لجمهورية أفريقيا الوسطى
🇪🇦,علم سبتة ومليلية
🇹🇩,العلم لتشاد
🇨🇱,العلم لشيلي
🇨🇳,العلم للصين
🇨🇽,العلم لجزيرة الكريسماس
🎄,شجرة عيد الميلاد
🇨🇵,علم لجزيرة كليبرتون
🇨🇨,علم لجزر كوكوس
🇨🇴,علم لكولومبيا
🇰🇲,علم جزر القمر
🇨🇬,علم الكونغو الكونغو برازافيل
🇨🇩,علم الكونغو الكونغو كينشاسا
🇨🇰,علم جزر كوك
🇨🇷,علم لكوستاريكا
🇭🇷,العلم لكرواتيا
🇨🇺,علم لكوبا
🇨🇼,علم لكوراساو
🇨🇾,العلم لقبرص
🇨🇿,العلم لجمهورية التشيك
🇨🇮,علم لكوت ديفوار
🇩🇰,العلم للدنمارك
🇩🇬,العلم لدييغو غارسيا
🇩🇯,العلم لجيبوتي
🇩🇲,علم لدومينيكا
🇩🇴,العلم لجمهورية الدومينيكان
🔚,النهاية
🇪🇨,علم الاكوادور
🇪🇬,العلم لمصر
🇸🇻,علم للسلفادور
🏴󠁧󠁢󠁥󠁮󠁧󠁿,إنكلترا
🇬🇶,علم لغينيا الاستوائية
🇪🇷,علم لإريتريا
🇪🇪,علم استونيا
🇪🇹,العلم لإثيوبيا
🇪🇺,العلم للاتحاد الأوروبي
🆓,حر
🇫🇰,علم جزر فوكلاند
🇫🇴,علم جزر فارو
🇫🇯,العلم لفيجي
🇫🇮,العلم لفنلندا
🇫🇷,العلم لفرنسا
🇬🇫,علم غيانا الفرنسية
🇵🇫,علم لبولينيزيا الفرنسية
🇹🇫,علم للمناطق الجنوبية الفرنسية
🇬🇦,العلم لغابون
🇬🇲,علم لغامبيا
♊,الجوزاء
🇬🇪,علم لجورجيا
🇩🇪,علم لألمانيا
🇬🇭,العلم لغانا
🇬🇮,علم لجبل طارق
🇬🇷,العلم لليونان
🇬🇱,علم لغرينلاند
🇬🇩,علم غرينادا
🇬🇵,علم لجوادلوب
🇬🇺,العلم لغوام
🇬🇹,علم لغواتيمالا
🇬🇬,علم لجيرنزي
🇬🇳,العلم لغينيا
🇬🇼,العلم لغينيا بيساو
🇬🇾,علم غيانا
🇭🇹,علم هايتي
🇭🇲,علم جزر هيرد وماكدونالد
🇭🇳,العلم لهندوراس
🇭🇰,العلم لهونغ كونغ
🇭🇺,علم المجر
🆔,هوية شخصية
🇮🇸,العلم لأيسلندا
🇮🇳,العلم للهند
🇮🇩,العلم لإندونيسيا
🇮🇷,العلم لإيران
🇮🇶,العلم للعراق
🇮🇪,العلم لأيرلندا
🇮🇲,العلم لجزيرة مان
🇮🇱,العلم لإسرائيل
🇮🇹,علم ايطاليا
🇯🇲,العلم لجامايكا
🇯🇵,العلم لليابان
🉑,قبول
🈸,طلب
🉐,صفقة
🏯,القلعة اليابانية
㊗,تهانينا
🈹,خصم
🎎,دمى
🈚,مجانا
🈁,هنا 
🈷,مبلغ شهري
🈵,غير خال
🈶,غير مجاني
🈺,عمل
🈴,درجة النجاح
🏣,مكتب البريد
🈲,ممنوع
🈯,محجوز
㊙,سر
🈂,سا
🔰,مبتدئ
🈳,خال
🇯🇪,علم جيرسي
🇯🇴,العلم للأردن
🇰🇿,العلم لكازاخستان
🇰🇪,العلم لكينيا
🇰🇮,علم كيريباتي
🇽🇰,العلم لكوسوفو
🇰🇼,العلم للكويت
🇰🇬,العلم لقيرغيزستان
🇱🇦,العلم لاوس
🇱🇻,علم لاتفيا
🇱🇧,العلم للبنان
♌,الأسد
🇱🇸,علم ليسوتو
🇱🇷,علم ليبيريا
♎,برج الميزان
🇱🇾,علم ليبيا
🇱🇮,علم ليختنشتاين
🇱🇹,علم ليتوانيا
🇱🇺,العلم لكسمبرغ
🇲🇴,علم لماكاو
🇲🇰,العلم لمقدونيا
🇲🇬,علم لمدغشقر
🇲🇼,علم ملاوي
🇲🇾,علم لماليزيا
🇲🇻,علم لجزر المالديف
🇲🇱,علم مالي
🇲🇹,علم مالطا
🇲🇭,علم جزر مارشال
🇲🇶,علم مارتينيك
🇲🇷,علم لموريتانيا
🇲🇺,علم لموريشيوس
🇾🇹,علم مايوت
🇲🇽,علم للمكسيك
🇫🇲,علم لميكرونيزيا
🇲🇩,علم لمولدافيا
🇲🇨,علم موناكو
🇲🇳,علم منغوليا
🇲🇪,علم للجبل الأسود
🇲🇸,علم لمونتسيرات
🇲🇦,علم للمغرب
🇲🇿,علم موزمبيق
🤶,السيدة كلوز
🤶🏿,السيدة كلوزلون البشرة الداكن
🤶🏻,السيدة كلوز لون بشرة فاتح
🤶🏾,السيدة كلوز لون بشرة متوسط-داكن
🤶🏼,السيدة كلوز لون بشرة متوسط-فاتح
🤶🏽,السيدة كلوز لون بشرة متوسط
🇲🇲,علم لميانمار
🆕,الجديد
🆖,نانوغرام
🇳🇦,علم ناميبيا
🇳🇷,علم ناورو
🇳🇵,علم لنيبال
🇳🇱,علم لهولندا
🇳🇨,علم لكاليدونيا الجديدة
🇳🇿,علم لنيوزيلندا
🇳🇮,علم لنيكاراغوا
🇳🇪,علم للنيجر
🇳🇬,علم لنيجيريا
🇳🇺,علم نيوي
🇳🇫,علم لجزيرة نورفولك
🇰🇵,علم لكوريا الشمالية
🇲🇵,علم جزر ماريانا الشمالية
🇳🇴,علم النرويج
🆗,حسنا
👌,حسناً
👌🏿,حسناً لون البشرة الداكن
👌🏻,حسناً لون البشرة الفاتحة
👌🏾,حسناً  بشرة متوسط-داكن
👌🏼,حسناً بشرة متوسط-فاتح
👌🏽,حسناً  بشرة متوسط
🔛,على
🅾,فئة الدم اوه
🇴🇲,علم عمان
⛎,الحواء
🅿,موقف سيارات
🇵🇰,علم لباكستان
🇵🇼,علم لبالاو
🇵🇸,علم للأراضي الفلسطينية
🇵🇦,علم لبانما
🇵🇬,علم لبابوا غينيا الجديدة
🇵🇾,علم لباراغواي
🇵🇪,علم لبيرو
🇵🇭,علم للفلبين
♓,برج الحوت
🇵🇳,علم جزر بيتكيرن
🇵🇱,علم لبولندا
🇵🇹,علم البرتغال
🇵🇷,علم لبورتوريكو
🇶🇦,علم قطر
🇷🇴,علم لرومانيا
🇷🇺,علم لروسيا
🇷🇼,علم لرواندا
🇷🇪,علم لريونيون
🔜,قريبًا
🆘,نجدة
♐,القوس
🇼🇸,علم لساموا
🇸🇲,علم سان مارينو
🎅,سانتا
🎅🏿,سانتا كلوز لون البشرة الداكنة
🎅🏻,سانتا كلوز  لون البشرة فاتح
🎅🏾,سانتا كلوز لون البشرة متوسط-داكن
🎅🏼,سانتا كلوزلون البشرة متوسط-فاتح
🎅🏽,سانتا كلوز لون البشرة متوسط
🇸🇦,علم المملكة العربية السعودية
♏,برج العقرب
🏴󠁧󠁢󠁳󠁣󠁴󠁿,أسكتلندا
🇸🇳,علم للسنغال
🇷🇸,علم لصربيا
🇸🇨,علم لسيشيل
🇸🇱,علم لسيراليون
🇸🇬,علم لسنغافورة
🇸🇽,علم لسانت مارتن
🇸🇰,علم لسلوفاكيا
🇸🇮,علم لسلوفينيا
🇸🇧,علم جزر سليمان
🇸🇴,علم الصومال
🇿🇦,علم لجنوب افريقيا
🇬🇸,علم لجنوب جورجيا وجزر ساندويتش الجنوبية
🇰🇷,علم لكوريا الجنوبية
🇸🇸,علم لجنوب السودان
🇪🇸,علم اسبانيا
🇱🇰,علم لسريلانكا
🇧🇱,علم لسانت بارتيليمي
🇸🇭,علم لسانت هيلينا
🇰🇳,علم لسانت كيتس ونيفيس
🇱🇨,علم لسانت لوسيا
🇲🇫,علم لسانت مارتن
🇵🇲,علم لسانت بيير وميكلون
🇻🇨,علم لسانت فنسنت وجزر غرينادين
🗽,تمثال الحرية
🇸🇩,علم للسودان
🇸🇷,علم لسورينام
🇸🇯,علم سفالبارد وجان مايان
🇸🇿,علم لسوازيلاند
🇸🇪,علم للسويد
🇨🇭,علم لسويسرا
🇸🇾,علم لسوريا
🇸🇹,علم لساو تومي وبرينسيبي
🦖,دايناصور
🔝,أعلى
🇹🇼,العلم لتايوان
🇹🇯,علم لطاجيكستان
🇹🇿,علم لتنزانيا
♉,برج الثور
🇹🇭,علم لتايلاند
🇹🇱,علم لتيمور الشرقية
🇹🇬,علم لتوغو
🇹🇰,علم لتوكيلاو
🗼,برج طوكيو
🇹🇴,العلم لتونغا
🇹🇹,علم لترينيداد وتوباغو
🇹🇦,علم تريستان دا كونها
🇹🇳,علم لتونس
🇹🇷,علم لتركيا
🇹🇲,علم تركمانستان
🇹🇨,علم جزر تركس وكايكوس
🇹🇻,علم لتوفالو
🇺🇲,علمًا لجزر الولايات المتحدة البعيدة
🇻🇮,علم جزر فرجن الأمريكية
🆙,فوق
🇺🇬,علم لأوغندا
🇺🇦,علم لأوكرانيا
🇦🇪,علم لدولة الإمارات العربية المتحدة
🇬🇧,علم المملكة المتحدة
🇺🇳,الأمم المتحدة
🇺🇸,علم الولايات المتحدة
🇺🇾,علم لأوروغواي
🇺🇿,العلم لأوزبكستان
🆚,ضد
🇻🇺,علم لفانواتو
🇻🇦,علم الفاتيكان
🇻🇪,علم لفنزويلا
🇻🇳,علم لفيتنام
♍,برج العذراء
🏴󠁧󠁢󠁷󠁬󠁳󠁿,ويلز
🇼🇫,علم للواليس وفوتونا
🇪🇭,علم الصحراء الغربية
🇾🇪,علم لليمن
🇿🇲,علم زامبيا
🇿🇼,علم لزيمبابوي
🎟,تذاكر الدخول
🧑,بالغ
🧑🏿,بالغ لون البشرة الداكنة
🧑🏻,بالغ لون بشرة فاتح
🧑🏾,بالغ لون بشرة متوسط-داكن
🧑🏼,بالغ لون بشرة متوسط-فاتح
🧑🏽,بالغ لون بشرة متوسط
🚡,الترام الجوي
✈,طائرة
🛬,طائرة قادمة
🛫,رحيل الطائرة
⏰,منبه
⚗,الإمبيق أداة كيميائية للتقطير
👽,كائن فضائي
👾,وحش غريب
🚑,سياره اسعاف
🏈,كرة القدم الامريكيه
🏺,جرة
⚓,مذيع الأخبار
💢,غضب
😠,غاضب
👿,عفريت
😧,مهموم
🐜,نملة
📶,قوة الاشارة
😰,عرق بارد
🚛,شاحنة 
🎨,فن
😲,مندهش
⚛,رمز الذرة
🚗,سيارة حمراء
🥑,أفوكادو
👶,طفل
👼,ملاك
👼🏿,ملاك لون البشرة الداكن
👼🏻,ملاك لون بشرة فاتح
👼🏾,ملاك لون بشرة متوسط-داكن
👼🏼,ملاك لون بشرة متوسط-فاتح
👼🏽,ملاك لون بشرة متوسط
🍼,زجاجة الطفل
🐤,طفل كتكوت
👶🏿,الطفل  لون البشرة الداكن
👶🏻,الطفل لون بشرة فاتح
👶🏾,الطفل  لون بشرة متوسط-داكن
👶🏼,الطفل لون بشرة متوسط-فاتح
👶🏽,الطفل لون بشرة متوسط
🚼,رمز الطفل
👇,إصبع لأسفل
👇🏿,إصبع لأسفل لون البشرة الداكن
👇🏻,   إصبع لأسفل لون بشرة فاتح
👇🏾,إصبع لأسفل لون بشرة متوسط-داكن
👇🏼,إصبع لأسفل نقطة لون بشرة متوسط-فاتح
👇🏽,إصبع لأسفل لون بشرة متوسط
👈,إصبع اليسار
👈🏿,إصبع اليسارلون البشرة الداكن
👈🏻,إصبع اليسار لون بشرة فاتح
👈🏾,إصبع اليسار لون بشرة متوسط-داكن
👈🏼,إصبع اليسا لون بشرة متوسط-فاتح
👈🏽,إصبع اليسارلون بشرة متوسط
👉,إصبع لليمين
👉🏿,إصبع لليمين لون البشرة الداكن
👉🏻,إصبع لليمين لون بشرة فاتح
👉🏾,إصبع لليمين لون بشرة متوسط-داكن
👉🏼,إصبع لليمين متوسط-فاتح
👉🏽,إصبع لليمين بشرة متوسط
👆,إصبع لأعلى
👆🏿,إصبع لأعلى لون البشرة الداكن
👆🏻,إصبع لأعلى لون البشرة الفاتح
👆🏾,إصبع لأعلى لون بشرة متوسط-داكن
👆🏼,إصبع لأعلى لون بشرة متوسط-فاتح
👆🏽,إصبع لأعلى لون بشرة متوسط
🥓,لحم خنزير مقدد
🏸,مضرب تنس الريشة 
🛄,استلام الأمتعة
🥖,خبز الرغيف الفرنسي
⚖,ميزان
🎈,بالون
🗳,صندوق اقتراع وورقة اقتراع 
☑,علامه صح
🍌,موز
🏦,بنك
📊,شريط الرسم البياني
💈,حلاق
⚾,البيسبول
🏀,كرة سلة
🦇,خفاش
🛁,حوض الاستحمام
🔋,البطارية
🏖,شاطئ مع مظلة
😁,ابتسامة
🐻,وجه دب
🧔,شخص بلحية
🧔🏿,شخص بلحية لون البشرة الداكن
🧔🏻,شخص بلحية لون بشرة فاتح
🧔🏾,شخص بلحية لون بشرة متوسط-داكن
🧔🏼,شخص بلحية لون بشرة متوسط-فاتح
🧔🏽,شخص بلحية لون بشرة متوسط
💓,قلب يخفق
🛏,السرير
🍺,كأس بيرة
🔔,جرس
🔕,لا جرس
🛎,جرس فندق
🍱,علبة طعام
🚲,دراجة هوائية
👙,ملابس البحر
🧢,قبعة رياضية
☣,خطورة بيولوجية 
🐦,طائر
🎂,كعكة عيد ميلاد
⚫,دائرة سوداء
🏴,علم أسود يرفرف
🖤,قلب أسود
⬛,مربع أسود كبير
◾,مربع أسود صغير
◼,مربع أسود متوسط
✒,سن قلم أسود
▪,مربع أسود صغيرجدا 
🔲,زر مربع أسود
👱‍♂️,رجل أشقر الشعر
👱🏿‍♂️,رجل أشقر الشعرلون البشرة الداكن
👱🏻‍♂️,رجل أشقر الشعر لون بشرة فاتح
👱🏾‍♂️,رجل أشقر الشعر لون بشرة متوسط-داكن
👱🏼‍♂️,رجل أشقر الشعر  لون بشرة متوسط-فاتح
👱🏽‍♂️,رجل أشقر الشعر لون بشرة متوسط
👱‍♀️,امرأة شقراء الشعر
👱🏿‍♀️,امرأة شقراء الشعر لون البشرة الداكن
👱🏻‍♀️,امرأة شقراء الشعر  لون بشرة فاتح
👱🏾‍♀️,امرأة شقراء الشعر لون بشرة متوسط-داكن
👱🏼‍♀️,امرأة شقراء الشعرلون بشرة متوسط-فاتح
👱🏽‍♀️,امرأة شقراء الشعر  لون بشرة متوسط
🌼,زهرة
🐡,السمكة المنتفخة
📘,كتاب أزرق
🔵,دائرة زرقاء كبيرة
💙,قلب ازرق
🐗,خنزير 
💣,قنبلة
🔖,علامة توقف قراءة
📑,لصاقات علامات توقف قراءة 
📚,الكتب
🍾,زجاجة بسدادة مفرقعة
💐,باقة أزهار
🏹,قوس وسهم 
🥣,وعاء مع ملعقة
🎳,البولينج
🥊,قفازات الملاكمة
👦,صبي
👦🏿,صبي  لون البشرة الداكن
👦🏻,صبي لون بشرة فاتح
👦🏾,صبي لون بشرة متوسط-داكن
👦🏼,صبي  لون بشرة متوسط-فاتح
👦🏽,صبي   لون بشرة متوسط
🧠,دماغ
🍞,خبز
🤱,الرضاعة الطبيعية
🤱🏿,الرضاعة الطبيعية  لون البشرة الداكن
🤱🏻,الرضاعة الطبيعية  لون بشرة فاتح
🤱🏾,الرضاعة الطبيعية لون بشرة متوسط-داكن
🤱🏼,الرضاعة الطبيعية لون بشرة متوسط-فاتح
🤱🏽,الرضاعة الطبيعية  لون بشرة متوسط
👰,عروس بطرحة
👰🏿,عروس بطرحة لون البشرة الداكن
👰🏻,عروس بطرحة  لون بشرة فاتح
👰🏾,عروس بطرحة لون بشرة متوسط-داكن
👰🏼,عروس بطرحة  لون بشرة متوسط-فاتح
👰🏽,عروس بطرحة لون بشرة متوسط
🌉,جسر في الليل
💼,حقيبة
🔆,زر سطوع مرتفع
🥦,بروكلي
💔,قلب مجروح
🐛,بق
🏗,إنشاءات
🚅,قطار سريع بوجه محدب
🌯,بوريتو 
🚌,حافلة
🚏,موقف باص
👤,صورة ظلية
👥,صورتان ظليتان
🦋,فراشة
🌵,صبار
📆,تقويم بأوراق
🤙,اتصل بي
🤙🏿,اتصل بي لون البشرة الداكن
🤙🏻,اتصل بي لون بشرة فاتح
🤙🏾,اتصل بي لون بشرة متوسط-داكن
🤙🏼,اتصل بي  لون بشرة متوسط-فاتح
🤙🏽,اتصل بي لون بشرة متوسط
🐫,جمل ذو سنام
📷,الة تصوير
📸,الة تصوير مع فلاش
🏕,تخييم
🕯,شمعة
🍬,حلوى
🥫,طعام معلب
🛶,قارب
🗃,صندوق بطاقات
📇,فهرس بطاقات
🗂,حاجز بطاقات
🎠,حصان الدوامة
🎏,قصاصات ملونة
🥕,جزر
🏰,قلعة أوروبية
🐱,وجه القطة
😹,وجه قطة بدموع فرح
😼,وجه قطة بابتسامة ممتعضة
⛓,سلاسل
📉,مخطط بياني لأسفل
📈,اتجاه لأعلى
💹,مخطط لبيانات متزايدة مع الين
🧀,قطعة جبن
🏁,علم مربعات
🍒,كرز
🌸,زهرة الكرز
🌰,كستناء
🐔,دجاجة
🧒,طفل
🧒🏿,طفل لون بشرة داكن
🧒🏻,طفل لون بشرة فاتح
🧒🏾,طفل لون بشرة متوسطة داكنة
🧒🏼,طفل لون بشرة متوسطة فاتحة
🧒🏽,طفل لون بشرة متوسطة
🚸,عبور أطفال
🐿,سنجاب
🍫,لوح شوكولاتة
🥢,عيدان للأكل
⛪,كنيسة
🚬,سيجارة
🎦,سينما
Ⓜ,حرف إم
🎪,خيمة سيرك
🏙,ناطحات سحاب
🌆,غروب مدينة
🗜,آلة ضغط
🎬,كلاكيت
👏,يدان تصفقان
👏🏿,يدان تصفقان لون بشرة داكنة
👏🏻,يدان تصفقان لون بشرة فاتحة
👏🏾,يدان تصفقان لون بشرة متوسطة داكنة
👏🏼,يدان تصفقان لون بشرة متوسطة فاتحة
👏🏽,يدان تصفقان لون بشرة متوسطة
🏛,مبنى أثري
🍻,كأسا بيرة
🥂,كأسان يرتطمان
📋,لوح كتابة مشبكي
🔃,سهمان رأسيان مع عقارب الساعة
📕,كتاب مغلق
📪,صندوق بريد مغلق بإشارة لأسفل
📫,صندوق بريد مغلق بإشارة مرفوعة
🌂,مظلة مغلقة
☁,سحابة
🌩,سحابة وبرق
⛈,سحابة وبرق ورعد
🌧,سحابة ومطر
🌨,سحابة وثلج
🤡,وجه مهرج
♣,ورقة لعب بشكل شجرة
👝,محفظة يد
🧥,معطف
🍸,كأس عصير كوكتيل
🥥,جوز الهند
⚰,تابوت
💥,تصادم
☄,مذنب
💽,قرص كمبيوتر
🖱,ماوس
🎊,كرة أوراق ملونة
😖,وجه مرتبك
😕,وجه حائر
🚧,تحت الإنشاء
👷,عامل بناء
👷🏿,عامل البناء لون البشرة الداكنة
👷🏻,عامل البناء لون البشرة الفاتحة
👷🏾,عامل البناء لون البشرة المتوسطة الداكنة
👷🏼,عامل البناء لون البشرة المتوسطة الفاتحة
👷🏽,عامل البناء لون البشرة المتوسطة
🎛,أزرار تحكم
🏪,متجر بقالة
🍚,أرز مطبوخ
🍪,بسكويت
🍳,بيضة مقلية
©,علامة حقوق النشر
🛋,أريكة ومصباح
🔄,الأسهم عكس اتجاه عقارب الساعة
💑,زوج وقلب
👨‍❤️‍👨,زوج وقلب رجل ورجل
👩‍❤️‍👨,زوج وقلب امرأة ورجل
👩‍❤️‍👩,زوج وقلب امرأة وامرأة
🐮,وجه بقرة
🤠,وجه بقبعة راعي بقر
🦀,سلطعون
🖍,قلم شمع ملون
💳,بطاقة ائتمان
🌙,هلال
🦗,جراد
🏏,مضرب الكريكيت والكرة
🐊,تمساح
🥐,كرواسون
❌,علامة الرفض
❎,علامة الرفض في مربع
🤞,علامة حظ سعيد
🤞🏿,علامة حظ سعيد لون بشرة داكنة
🤞🏻,علامة حظ سعيد لون بشرة فاتحة
🤞🏾,علامة حظ سعيد لون بشرة متوسطة داكنة
🤞🏼,علامة حظ سعيد لون بشرة متوسطة فاتحة
🤞🏽,علامة حظ سعيد لون بشرة متوسطة 
🎌,علمان متقاطعان
⚔,سيفان متصالبان
👑,تاج
😿,وجه قطة يبكي
😢,وجه يبكي
🔮,كرة كريستال
🥒,خيار
🥤,كأس وقشة للشرب
🥌,حجرة لعبة الكرلنغ
➰,عقدة
💱,صرف عملة
🍛,أرز وكاري
🍮,كريم كراميل
🛃,جمارك
🥩,قطعة لحم
