emoji,Meaning
🙆,شخص بإيماء موافق
🙆🏿,شخص بإيماء موافق لون البشرة الداكن
🙆🏻,شخص بإيماءة موافق لون البشرة الفاتح
🙆🏾,الشخص بإيماءة موافق لون بشرة  متوسطة داكن
🙆🏼,شخص بإيماءة موافق لون بشرة متوسط فاتح
🙆🏽,شخص بإيماء موافق  ​​لون بشرة متوسط
💇,شخص يقص شعره 
💇🏿,شخص يقص شعره لون بشرة داكن
💇🏻,شخص يقص شعره لون بشرة فاتح
💇🏾,شخص يقص شعره لون بشرة متوسط داكن
💇🏼,شخص يقص شعره لون بشرة متوسط فاتح
💇🏽,شخص يقص شعره لون بشرة متوسط
💆,شخص يحصل على تدليك 
💆🏿,شخص يحصل على تدليك لون بشرة داكن
💆🏻,الشخص يحصل على تدليك لون البشرة فاتح
💆🏾,شخص يحصل على تدليك لون بشرة متوسطة داكن
💆🏼,شخص يحصل على تدليك لون بشرة متوسطة فاتح
💆🏽,شخص يحصل على تدليك لون بشرة متوسطة
🏌,شخص يلعب غولف
🏌🏿,شخص يلعب الغولف لون بشرة داكن
🏌🏻,شخص يلعب الغولف لون بشرة فاتح
🏌🏾,شخص يلعب الغولف لون بشرة متوسط داكن 
🏌🏼,شخص يلعب الغولف لون بشرة متوسط فاتح 
🏌🏽,شخص يلعب الغولف لون بشرة متوسط 
🛌,شخص على سرير
🛌🏿,شخص على السرير لون بشرة الداكن
🛌🏻,شخص على السرير  لون بشرة فاتح
🛌🏾,شخص على السرير لون بشرة متوسط داكن
🛌🏼,شخص على السرير لون بشرة متوسط فاتح
🛌🏽,شخص على السرير  ​​لون بشرة متوسط
🧘,شخص متربع
🧘🏿,شخص متربع لون بشرة داكن
🧘🏻,شخص متربع لون بشرة فاتح
🧘🏾,شخص  محبط لون بشرة  متوسط داكن
🧘🏼,شخص متربع لون بشرة متوسط فاتح
🧘🏽,شخص متربع لون بشرة متوسط 
🧖,شخص في غرفة مشبعة بالبخار
🧖🏿,شخص في غرفة مشبعة بالبخار لون بشرة داكن
🧖🏻,شخص في غرفة مشبعة بالبخار لون بشرة فاتح
🧖🏾,شخص في غرفة مشبعة بالبخار لون بشرة متوسط داكن
🧖🏼,شخص في غرفة مشبعة بالبخار لون البشرة متوسط فاتح
🧖🏽,شخص في غرفة مشبعة بالبخار متوسط
🤹,شخص يؤدي ألعاب بهلوانية
🤹🏿,شخص يؤدي ألعاب بهلوانية لون بشرة الداكن
🤹🏻,شخص يؤدي ألعاب بهلوانية لون بشرة فاتح
🤹🏾,شخص يؤدي ألعاب بهلوانية لون بشرة متوسط داكن
🤹🏼,شخص يؤدي ألعاب بهلوانية لون بشرة متوسط فاتح
🤹🏽,شخص يؤدي ألعاب بهلوانية لون بشرة متوسط 
🏋,شخص يرفع أثقال
🏋🏿,شخص يرفع أثقال لون بشرة الداكن
🏋🏻,شخص يرفع أثقال لون البشرة فاتح
🏋🏾,شخص يرفع أثقال لون بشرة متوسط داكن 
🏋🏼,شخص يرفع أثقال لون بشرة متوسط فاتح
🏋🏽,شخص يرفع أثقال  لون بشرة متوسط
🚵,شخص يركب دراجة في الجبال
🚵🏿,شخص يركب دراجة في الجبال لون بشرة الداكن
🚵🏻,شخص يركب دراجة في الجبال لون بشرة فاتح
🚵🏾,شخص يركب دراجة في الجبال لون بشرة متوسط الداكن
🚵🏼,شخص يركب دراجة في الجبال لون بشرة متوسط فاتح
🚵🏽,شخص يركب دراجة في الجبال لون بشرة متوسط 
🤾,شخص يلعب كرة اليد
🤾🏿,شخص يلعب كرة اليد لون بشرة الداكن
🤾🏻,شخص يلعب كرة اليد الخفيفة لون بشرة فاتح
🤾🏾,شخص يلعب كرة اليد لون بشرة متوسط الداكن
🤾🏼,شخص يلعب كرة اليد لون بشرة متوسط فاتح
🤾🏽,شخص يلعب كرة اليد  لون بشرة متوسط
🤽,شخص يلعب كرة الماء
🤽🏿,شخص يلعب كرة الماء لون بشرة الداكن
🤽🏻,شخص يلعب كرة الماء الماء لون بشرة فاتح
🤽🏾,شخص يلعب كرة الماء ماء لون بشرة متوسط الداكن
🤽🏼,شخص يلعب كرة الماء المائية لون بشرة متوسط فاتح
🤽🏽,شخص يلعب كرة الماء الماء لون بشرة متوسط
🙎,شخص متجهم
🙎🏿,شخص متجهم لون بشرة الداكن
🙎🏻,شخص منهجم لون البشرة فاتح
🙎🏾,شخص متهجم لون بشرة متوسط الداكن
🙎🏼,الشخص متهجم لون بشرة متوسط فاتح
🙎🏽,شخص متهجم البشرة متوسط
🙋,شخص يرفع يده
🙋🏿,شخص يرفع يده لون بشرة الداكن
🙋🏻,شخص يرفع يده لون بشرة فاتح
🙋🏾,شخص يرفع يده لون بشرة متوسط الداكن
🙋🏼,شخص يرفع يده لون بشرة متوسط فاتح
🙋🏽,شخص يرفع يده لون بشرة متوسط
🚣,شخص يجدف بزورق
🚣🏿,شخص يجدف بزورق لون بشرة الداكن
🚣🏻,شخص يجدف بزورق  لون بشرة فاتح
🚣🏾,شخص يجدف بزورق لون بشرة متوسط الداكن
🚣🏼,شخص يجدف بزورق لون بشرة متوسط فاتح
🚣🏽,شخص يجدف بزورق لون بشرة متوسط ​
🏃,شخص يجري
🏃🏿,شخص يجري لون بشرة الداكن
🏃🏻,شخص يجري لون بشرة فاتح
🏃🏾,شخص يجري لون بشرة متوسط الداكن
🏃🏼,شخص يجري  لون بشرة متوسط فاتح
🏃🏽,شخص يجري لون بشرة متوسط
🤷,شخص لا يعلم
🤷🏿,شخص لا يعلم لون بشرة الداكن
🤷🏻,شخص لا يعلم لون بشرة فاتح
🤷🏾,شخص لا يعلم لون بشرة متوسط الداكن
🤷🏼,شخص لا يعلم بشرة متوسط فاتح
🤷🏽,شخص لا يعلم بشرة متوسط
🏄,شخص يركب الأمواج
🏄🏿,شخص يركب الأمواج لون بشرة الداكن
🏄🏻,شخص  يركب الأمواج لون البشرة فاتح
🏄🏾,شخص  يركب الأمواج لون بشرة متوسط الداكن
🏄🏼,شخص يركب الأمواج لون بشرة متوسط فاتح
🏄🏽,شخص يركب الأمواج لون بشرة متوسط ​​
🏊,سباح
🏊🏿,شخص يسبح لون بشرة الداكن
🏊🏻,شخص يسبح لون بشرة فاتح
🏊🏾,شخص يسبح لون بشرة متوسطة داكن
🏊🏼,شخص يسبح لون بشرة متوسط فاتح
🏊🏽,شخص يسبح لون بشرة متوسط
🛀,شخص يستحم
🛀🏿,شخص يستحم لون بشرة الداكن
🛀🏻,شخص يستحم لون البشرة لفاتح
🛀🏾,شخص يستحم لون بشرة متوسط داكن
🛀🏼,شخص يستحم لون بشرة متوسط فاتح
🛀🏽,شخص يستحم لون بشرة متوسط ​
💁,شخص بيد مائلة
💁🏿,شخص بيد مائلة لون بشرة الداكن 
💁🏻,شخص بيد مائلة  لون بشرة فاتح
💁🏾,شخص بيد مائلة لون بشرة متوسط داكن
💁🏼,شخص بيد مائلة متوسط فاتح
💁🏽,شخص بيد مائلةلون بشرة متوسطة
🚶,شخص يمشي
🚶🏿,شخص يمشي لون بشرة الداكن
🚶🏻,شخص يمشي لون لبشرة فاتح
🚶🏾,شخص يمشي  لون البشرة متوسط  الداكن
🚶🏼,شخص يمشي  لون البشرة متوسط فاتح
🚶🏽,شخص يمشي  لون البشرة متوسطة 
👳,رجل بعمامة
👳🏿,شخص يرتدي عمامة لون بشرة الداكن
👳🏻,شخص يرتدي عمامة لون بشرة فاتح
👳🏾,شخص يرتدي عمامة لون بشرة متوسط الداكن 
👳🏼,شخص يرتدي عمامة لون بشرة متوسط فاتح
👳🏽,شخص يرتدي عمامة لون بشرة متوسط
⛏,فأس
🥧,فطيرة
🐷,وجه خنزير
🐽,أنف خنزير
💩,فضلات
💊,حبة دواء
🎍,ديكور صنوبر
🍍,أناناس
🏓,مضرب تنس الطاولة و كرة
🔫,بندقية
🍕,بيتزا
🛐,مكان للعبادة
▶,زر تشغيل
⏯,زر تشغيل أو إيقاف مؤقت
🚓,سيارة شرطة
🚨,ضوء الدورية
👮,شرطي
👮🏿,ضابط شرطة لون بشرة الداكن
👮🏻,ضابط شرطة  لون بشرة فاتح
👮🏾,ضابط شرطة لون البشرة متوسط داكن
👮🏼,ضابط شرطة لون البشرة متوسط فاتح
👮🏽,ضابط شرطة  لون البشرة متوسط
🐩,بودل
🎱,كرة بلياردو
🍿,الفشار
📯,جرس بريد
📮,صندوق بريد
🍲,حساء
🚰,مياه صالحة للشرب
🥔,البطاطس
🍗,ساق الدواجن
💷,جنيه
😾,وجه قطة عابس
😡,وجه مشتاط غضبًا
📿,مسبحة الصلاة
🤰,امرأة حامل
🤰🏿,امرأة حامل لون البشرة الداكن
🤰🏻,امرأة حامل لون البشرة فاتح
🤰🏾,امرأة حامل لون بشرة متوسط الداكن
🤰🏼,امرأة حامل لون بشرة متوسط فاتح
🤰🏽,امرأة حامل لون بشرة متوسط
🥨,بريتزل
🤴,أمير
🤴🏿,الأمير لون بشرة الداكن
🤴🏻,الأمير لون بشرة فاتح
🤴🏾,الأمير  ​​لون بشرة متوسط الداكن
🤴🏼,الأمير لون بشرة متوسط فاتح
🤴🏽,الأمير لون بشرة متوسط 
👸,أميرة
👸🏿,أميرة لون بشرة الداكن
👸🏻,أميرة لون بشرة فاتح
👸🏾,أميرة لون البشرة متوسط الداكن
👸🏼,أميرة لون بشرة متوسط فاتح
👸🏽,أميرة  لون البشرة متوسط
🖨,طابعة
🚫,ممنوع
💜,قلب بنفسجي
👛,كيس نقود
📌,الدبوس
❓,علامة استفهام حمراء
🐰,وجه أرنب
🏎,سيارة سباق
📻,راديو
🔘,زر تبادلي
☢,علامة اشعاع
🚃,عربة قطار
🛤,مسار السكك الحديدية
🌈,قوس المطر
🏳️‍🌈,علم قوس قزح
🤚,يد مرفوعة
🤚🏿,يد مرفوعة لون بشرة الداكن
🤚🏻,يد مرفوعة لون بشرة فاتح
🤚🏾,يد مرفوعة لون بشرة متوسط داكن
🤚🏼,يد مرفوعة لون بشرة متوسط فاتح
🤚🏽,يد مرفوعة لون بشرة متوسط 
✊,قبضة يد مرفوعة
✊🏿,قبضة يد مرفوعة لون بشرة داكن
✊🏻,قبضة يد مرفوعة لون بشرة فاتح
✊🏾,قبضة يد مرفوعة لون بشرة متوسط داكن
✊🏼,قبضة يد مرفوعة لون بشرة متوسط فاتح
✊🏽,قبضة يد مرفوعة لون بشرة متوسط
✋,يد مرفوعة
✋🏿,يد مرفوعة لون البشرة الداكن
✋🏻,يد مرفوعة لون البشرة فاتح
✋🏾,يد مرفوعة لون بشرة متوسط الداكن 
✋🏼,يد مرفوعة  لون البشرة متوسط الفاتح
✋🏽,يد مرفوعة لون بشرة متوسط
🙌,رفع اليدين
🙌🏿,رفع اليدين لون بشرة الداكن
🙌🏻,رفع اليدين لون بشرة الفاتح
🙌🏾,رفع اليدين لون بشرة متوسط داكن
🙌🏼,رفع اليدين  لون بشرة متوسطة فاتح
🙌🏽,رفع اليدين لون بشرة متوسط
🐏,كبش
🐀,فأر
⏺,زر تسجيل
♻,إعادة تدوير
🍎,تفاحة
🔴,دائرة حمراء
❤,قلب احمر
🏮,فانوس
🔻,مثلث صغير أحمر أسفل
🔺,مثلث صغير أحمر
®,مسجل
😌,وجه مرتاح
🎗,شريطة تذكير
🔁,زر تكرار
🔂,زر تكرار مرة واحدة
⛑,خوذة رجل إنقاذ
🚻,غرفة الاستراحة
◀,زر ترجيع 
💞,قلوب تدور حول بعضها
🦏,وحيد القرن
🎀,شريط
🍙,كرة الأرز
🍘,مقرمشات أرز
🤜,قبضة لليمين
🤜🏿,مواجهة بقبضة اليد اليمنى لون بشرة داكن
🤜🏻,مواجهة بقبضة اليد اليمنى لون بشرة فاتح
🤜🏾,مواجهة بقبضة اليد اليمنى لون بشرة متوسط داكن
🤜🏼,مواجهة بقبضة اليد اليمنى لون بشرة متوسط فاتح
🤜🏽,مواجهة بقبضة اليد اليمنى لون بشرة متوسط 
🗯,فقاعة غضب يمنى
➡,سهم لليمين 
⤵,سهم لأسفل من اليسار
↩,سهم أيمن بانحناء أيسر
⤴,سهم لأعلى من اليسار
💍,خاتم
🍠,بطاطا حلوة مشوية 
🤖,وجه الروبوت
🚀,صاروخ
🗞,صحيفة مطوية
🎢,قطار ملاهي
🤣,وجه ضاحك يتدحرج على الأرض
🐓,ديك
🌹,وردة
🏵,وردية
📍,دبوس مستدير
🏉,كرة رجبي 
🎽,قميص الجري
👟,حذاء رياضي
😥,بخيبة أمل بالارتياح
⛵,قارب
🍶,زجاجة وفنجان
🥪,ساندويتش
📡,طبق قمر صناعي
🦕,ديناصور صوروبودا
🎷,ساكسفون
🧣,وشاح
🏫,مدرسة
🎒,الحقيبة المدرسية
✂,مقص
🦂,عقرب
📜,ورقة ملفوفة
💺,مقعد
🙈,قرد يحجب عينيه
🌱,شتلة
🤳,صورة سيلفي
🤳🏿,صورة سيلفي لون بشرة داكن
🤳🏻,صورة سيلفي لون بشرة فاتح
🤳🏾,صورة سيلفي لون بشرة متوسط داكن
🤳🏼,صورة سيلفي لون بشرة متوسط فاتح
🤳🏽,صورة سيلفي لون بشرة متوسط 
🕢,ساعة السابعة و النصف
🕖,ساعة السابعة
🥘,مقلاة مسطحة بها طعام
☘,نبات النفل
🦈,سمكة قرش
🍧,آيس كريم مجروش
🌾,حزمة من الأرز
🛡,درع
⛩,ضريح
🚢,سفينة
🌠,شهاب
🛍,أكياس التسوق
🛒,عربة التسوق
🍰,كيكة
🚿,دش
🦐,جمبري
🔀,زر أسهم متداخلة
🤫,وجه يطلب الصمت
🤘,علامة اشارة قرون
🤘🏿,علامة اشارة قرون لون بشرة داكن
🤘🏻,علامة اشارة قرون لون بشرة فاتح
🤘🏾,علامة اشارة قرون لون بشرة متوسط الداكن
🤘🏼,علامة اشارة قرون لون بشرة متوسط فاتح
🤘🏽,علامة قرون لون بشرة متوسط 
🕡,ساعة السادسة و النصف
🕕,ساعة السادسة
⛷,متزلّج على الثلج
🎿,تزلج
💀,جمجمة
☠,جمجمة وعظمتين متقاطعتين
🛷,تزلج
😴,نائم
😪,نعسان
🙁,وجه عبوس قليلا
🙂,وجه مبتسم قليلا
🎰,جهاز قمار
🛩,طائرة صغيرة
🔹,ماسة زرقاء صغيرة
🔸,ماسة برتقالي صغيرة
😻,وجه قطة مبتسم بعينين على شكل قلب
☺,وجه مبتسم
😇,وجه مبتسم بهالة
😍,وجه مبتسم مع عينين على شكل قلب
😈,وجه مبتسم بقرنين
😊,وجه باسم بعينين باسمتين
😎,وجه مبتسم بنظارة شمس
😏,وجه بابتسامة متكلفة
🐌,حلزون
🐍,ثعبان
🤧,وجه يعطس
🏔,جبل بقمة ثلجية
🏂,المتزلج
🏂🏿,متزلج على الجليد ذو لون البشرة الداكن
🏂🏻,مترلج على الجليد لون بشرة فاتح
🏂🏾,مترلج على الجليد لون بشرة متوسط لداكن
🏂🏼,متزلج على الجليد لون بشرة متوسط  فاتح
🏂🏽,متزلج على الجليد لون بشرة متوسط
❄,كتلة ثلج 
☃,الرجل الثلجي
⛄,رجل ثلج بدون ثلج متساقط
⚽,كرة القدم
🧦,جوارب
🍦,آيس كريم مخفف
♠,ورقة البستوني
🍝,سباغتي
❇,ومضة
🎇,ماسة نارية
✨,ومضات
💖,قلب متلألئ
🙊,قرد يحجب الكلام
🔊,صوت سماعة مرتفع
🔈,صوت سماعة منخفض
🔉,صوت معتدل
🗣,رأس تتحدث
💬,فقاعة كلام
🚤,قارب سريع
🕷,عنكبوت
🕸,الشبكه العنكبوتيه
🗓,تقويم حلزوني
🗒,ورقة ملاحظات
🐚,صدفة حلزونية
🥄,ملعقة
🚙,سيارة زرقاء
🏅,ميدالية رياضية
🐳,حوت
🦑,حبار
😝,وجه بعينين مغلقتين ولسان متدلٍ
🏟,ملعب
🤩,وجه بعينين على شكل نجمة
☪,نجمة وهلال
✡,نجمة داوود
🚉,محطة قطار
🍜,رامين
⏹,زر إيقاف
🛑,لافتة توقف
⏱,ساعة التوقيف
📏,مسطرة مستقيمة
🍓,الفراولة
🎙,ميكروفون الاستوديو
🥙,فطيرة محشوة
☀,مشمس
⛅,مشمس جزئيا
🌥,الشمس البيضاء وراء السحابة
🌦,الشمس البيضاء وراء السحابة مع المطر
🌤,الشمس البيضاء مع سحابة صغيرة
🌞,الشمس مع الوجه
🌻,دوار الشمس
🌅,شروق الشمس
🌄,شروق الشمس فوق الجبال
🌇,شروق الشمس في المدينة
🍣,سوشي
🚟,سكة حديد معلقة
💦,قطرات ماء
🕍,معبد يهودي
💉,إبرة حقن
👕,تي شيرت
🌮,تاكو
🥡,علبة طعام للخارج
🎋,شجرة احتفال
🍊,يوسفي
🚕,سيارة اجره
🍵,فنجان شاي بدون مقبض
☎,هاتف
📞,سماعة هاتف
🔭,تلسكوب
📺,تلفزيون
🕥,الساعة العاشرة والنصف
🕙,الساعة العاشرة 
🎾,تنس
⛺,خيمة
🌡,ترمومتر 
🤔,وجه يفكر
💭,فقاعة أفكار
🕞,الساعة الثالثة والنصف
🕒,الساعة الثالثة
👎,رفض
👎🏿,رفض  لون بشرة الداكن
👎🏻,رفض لون بشرة فاتح
👎🏾,رفض لون بشرة متوسط داكن
👎🏼,رفض لون بشرة متوسط فاتح
👎🏽,رفض لون البشرة متوسط
👍,قبول
👍🏿,قبول لون البشرة الداكن
👍🏻,قبول لون البشرة فاتح
👍🏾,قبول لون البشرة متوسط داكن
👍🏼,قبول لون البشرة متوسط فاتح
👍🏽,قبول لون البشرة متوسط
🎫,تذكرة
🐯,وجه النمر
⏲,ساعة مؤقت
😫,وجه متعب
🚽,الحمام
🍅,طماطم
👅,لسان
🎩,قبعة رسمية
🌪,سحابة مع اعصار
🖲,كرة
🚜,جرار زراعى
™,إشارة علامة تجارية
🚋,سيارة الترام
🚊,نوع من القطارات
🚩,علم مثلث
📐,مسطرة مثلثة
🔱,رمح ثلاثي الشعب
🚎,الترولي أوتبيس كهربائي
🏆,كأس
🍹,الشراب الاستوائي
🐠,أسماك إستوائية
🎺,بوق
🌷,الخزامي نبات
🥃,زجاج بهلوان
🦃,ديك رومي
🐢,سلحفاة
🕧,الساعة الثانية عشر و النصف
🕛,الساعة الثانية عشر
🕝,الساعة الثانية و النصف
💕,قلبين
👬,رجلان يدا بيد
🕑,الساعة الثانية
👭,امرأتان يدا بيد
☂,مظلة
⛱,مظلة على الأرض
☔,مظلة مع قطرات المطر
😒,مستاء
🦄,وجه يونيكورن
🔓,فتح
↕,السهم لأعلى
↖,السهم العلوي الأيسر
↗,السهم العلوي الأيمن
⬆,سهم أعلى
🙃,وجهًا مقلوبًا
🔼,السهم يصل صغير
🧛,رعب
🧛🏿,مصاص دماء لون البشرة الداكن
🧛🏻,مصاص الدماء لون البشرة فاتح
🧛🏾,مصاص دماء لون البشرة متوسط داكن
🧛🏼,مصاص دماء لون البشرة متوسط فاتح
🧛🏽,مصاص دماء لون البشرة متوسط
🚦,ضوء المرور العمودي
📳,وضع الاهتزاز
✌,يد النصر لون البشرة اصفر 
✌🏿,يد النصر لون البشرة الداكنة
✌🏻,يد النصر لون البشرة فاتح
✌🏾,يد النصر لون البشرة متوسط داكن
✌🏼,يد النصر لون البشرة متوسط فاتح
✌🏽,يد النصر لون البشرة متوسط
📹,كاميرا فيديو
🎮,لعبة فيديو
📼,اتش اس
🎻,كمان
🌋,بركان
🏐,الكرة الطائرة
🖖,تحية فولكان 
🖖🏿,تحية فولكان لون البشرة الداكن
🖖🏻,تحية فولكان لون البشرة فاتح
🖖🏾,تحية فولكان لون البشرة متوسط داكن
🖖🏼,تحية فولكان لون البشرة متوسط فاتح
🖖🏽,تحية فولكان لون البشرة متوسط
🌘,تراجع هلال القمر
🌖,تراجع القمر القطبي
⚠,تحذير
🗑,سلة النفايات
⌚,راقب
🐃,جاموس الماء
🚾,مرحاض
🌊,محيط
🍉,البطيخ
👋,التلويح باليد
👋🏿,التلويح باليد لون البشرة الداكن
👋🏻,التلويح باليد لون البشرة فاتح
👋🏾,التلويح باليد لون البشرة متوسط داكن
👋🏼,التلويح باليد لون البشرة متوسط فاتح
👋🏽,التلويح باليد لون البشرة متوسط
〰,مائج داش
🌒,هلال الصبح القمر
🌔,القمر
🙀,صراخ القط
😩,المرهق
💒,حفل زواج
☸,عجلة دارما
♿,كرسي متحرك
⚪,دائرة بيضاء
❕,علامة تعجب رمادية
🏳,يلوحون بالعلم الأبيض
💮,زهرة بيضاء
✅,علامة الاختيار البيضاء
⬜,مربع أبيض كبير
◽,أبيض مربع صغير متوسط
◻,مربع أبيض متوسط
⭐,نجمة
❔,سؤال رمادي
